@relation letterRecog-weka.filters.unsupervised.attribute.DMI-D2-N-1-F0.25-E-1-I-1-L1.0E-4

@attribute feat1 numeric
@attribute feat2 numeric
@attribute feat3 numeric
@attribute feat4 numeric
@attribute feat5 numeric
@attribute feat6 numeric
@attribute feat7 numeric
@attribute feat8 numeric
@attribute feat9 numeric
@attribute feat10 numeric
@attribute feat11 numeric
@attribute feat12 numeric
@attribute feat13 numeric
@attribute feat14 numeric
@attribute feat15 numeric
@attribute feat16 numeric
@attribute Class {A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z}

@data
5,8,5,6,3,3,10,3,6,12,12,7,1,11,2,5,Y
1,0,1,0,0,7,6.612745,5,7,7,6,13,0,8,4,10,C
2,1,2,1,0,8,7,4,4,7,6,8,3,8,4,8,X
4,5.710044,7,4,3,5,8,2,8,11,10,9,3,8,3,6,X
4,6,6,4,5,7,7.233309,5,4,6,6,8,4,7,7,7,G
3,6.219336,4,5,3,7,8,7,7,8,5,6,2,8,9,8,S
4,11,6,8,4,12,2,3,3,11,1,9,3,7,3,9,A
6,9,6,5,4,3,9,2,3,9,10,8,8,11,1,5,W
3,6.269847,5,5,4,7,7,3,8,5,6,9,3,7,7,9,X
2,2,3,2,2,7.028552,7,6,3,6,6,10,2,9,3,10,Q
3,2,4,4,2,5,8,6,6,8,10,10,3,9,0,8,U
1,4,2,2,1,13.178516,10.7567,1,7,13,6,8,0,8,1,8,I
2,5,3,7,1,12,3,9,4,13,5,12,1,6,0,8,J
3,3,4,2,2,9,6,6,4,6,7,6,6,5,2,6,M
3,6,4,5,3,9,8,7,4,5,7,10,2,8,4,9,Q
3,5,4,4,2,8,6.408022,3,7,11,5,9,1,9,5,9,S
2,4,3,3,1,4,10,2,6,10,10,6,1,11,2,5,Y
3,6,5,5,4,9,7,4,5,6,8,5,4,10,4,5,A
3,6,4,4,3,7,8,7,10,5,4,9,3,8,6,7,E
5,11,6,8,2,4,7.240329,9,2,7,7,12,4,7,3,11,K
3,5,4,3,2,7,7,7,4,9,6,7,2,8,3,7,O
5,9,6,7,6,7,6.923319,4,6,6,5,7,3,7,5,9,R
5,7,7,8,7,7,7.632415,5,5,8,7,9,5,9,7,5,F
6,10,6,5,4,7,7.520676,4,7,10,5,6,5,9,7,5,D
6,11,6,8,3,4,8.524415,6,8,12,10,12,2,9,3,7,C
4,8.504265,5,8,3,7,6,9,8,6,4,7,3,8,4,8,O
2,6,4,4,5,10,7,4,5,7,5,6,3,6,6,5,D
4,10,6,8,4,6,9,0,7,13,7,7,0,8,1,7,I
5,8,7,6,6,9,7,6,5,6,7,4,10,7,4,5,M
4,10,5,8,6,7,6.460516,10,1,7,8,8,7,5,0,8,M
2,5,4,3,3,9,6,4,6,10,4,6,2,8,3,8,D
5,5,5,7,2,1,15,5,3,12,9,4,0,8,3,6,F
7,15,7,9,5,9,6,5,6,12,3,7,5,7,6,10,D
2,4.196271,4,3,1,9,6,3,6,14,5,10,1,6,1,7,J
2,2.824336,3,2,1,6,7,2,6,10,7,10,3,8,2,8,K
2,4,4,2,2,10,2,2,2,9,2,8,2,6,2,8,A
9,15,8,8,6,8,6,3,7,10,5,7,6,8,9,6,D
1,1,2,1,1,7,7,6,4,7,6,8,2,8,2,8,O
2,3,4,1,1,10,2,3,1,9,2,9,1,6,1,8,A
2,4,3,3,1,7,8,7,7,8,10,7,3,9,1,8,U
2.227299,1,3,3,2,7,8,5,4,8,7,8,4,8,1,7,N
2,2.155742,3,2,1,6,8,7,8,8,7,13,1,9,4,10,O
4,8.59682,6,7,5,8,8,6,6,8,5,7,3,8,6,10,R
2,5.319243,4,4,2,8,2,2,2,7,2,8,2,6,3,6,A
3,7,5,5,3,4,3,8,6,1,3,3,1,6,0,6,L
6,11,8,8,10,9,8,5,4,9,5,7,5,10,13,8,S
8,9,9,7,4,3,8,6,8,10,11,10,3,9,2,5,U
2,8,3,6,1,11,3,10,3,12,8,13,1,6,0,8,J
4,5.547849,6,4,5,7,8,4,5,6,7,9,5,9,5,7,T
5,11,7,8,6,7,7,2,7,11,7,9,3,8,4,8,E
2,4,4,3,2,6,4.157347,1,8,8,2,11,0,7,2,8,L
1,3,2,4,1,13,3,7,4,13,4,11,1,6,0,8,J
4,8.23807,4,6,3,1,13,4,4,12,10,6,0,8,1,6,F
6,9,6,4,2,6,9,4,2,9,7,5,5,12,2,7,V
5,8.481473,6,7,3,6,8,11,10,8,7,6,3,8,4,8,D
2,2,3,4,3,7,7,6,7,7,6,9,2,8,6,10,E
2,6,4,4,2,8,11,2,3,5,11,9,2,10,0,8,V
4,9,5,4,3,9,6,2,7,11,3,7,3,8,4,9,X
2,6,3,4,3,6,10,3,5,10,9,5,2,10,3,6,F
4,8.523027,6,7,3,7,9,3,2,6,12,8,3,10,0,8,V
3,7,4,5,2,6,4,1,9,8,2,11,0,7,2,8,L
2,3,3,5,1,0,1,5,6,0,0,7,0,8,0,8,L
4,9,5,6,3,4,7.977038,6,6,11,10,12,2,10,3,7,C
6,10,5,6,3,7,9,4,5,4,5,10,5,10,2,7,N
1,8,2,6,2,7,7,0,8,7,6,8,0,8,3,8,I
6,11,9,8,5,6,9,0,8,8,12,9,1,11,2,7,Y
2,1.600313,2,1,1,7,7,3,11,8,6,8,0,8,7,8,Z
4,5,4,7,2,3,7,7,2,7,5,11,3,8,3,10,K
4,11,5,8,3,6,9,11,5,7,5,8,3,8,5,10,R
4,8.324742,6,6,4,9,8,1,6,13,5,5,1,10,2,9,F
7,10,9,8,7,4,9,4,8,12,10,9,3,8,5,4,E
5,11,7,8,9,8,7,5,2,6,6,10,7,8,6,12,G
1,4,2,2,0,7,8,0,7,13,6,8,0,8,0,8,I
5,10,7,8,6,6,7,7,7,8,9,8,4,9,7,7,T
6,9,8,7,5,5,7.850579,3,7,10,9,10,3,8,4,6,K
6,9,8,8,9,7,8.531921,6,5,7,6,7,6,11,8,11,V
5,9,6,7,4,6,7,4,8,7,6,9,3,8,5,9,K
5,10,7,8,5,6,7.305676,7,6,6,6,10,2,8,5,8,G
6,10.466754,7,8,4,6,8,7,8,13,8,10,2,11,3,7,C
4,6,6,4,4,5,6,4,7,6,6,10,3,8,5,9,K
3,5,5,4,3,5,8,1,6,10,8,10,3,8,3,8,K
2,7,4,5,3,11,3,2,2,9,2,9,2,6,3,8,A
10,13,7,8,5,10,5,5,6,11,3,9,6,7,7,11,B
5,7,5,5,3,6,11.281505,3,7,11,9,4,2,12,2,4,T
1,1,2,1,0,7,9.930354,2,2,7,12,8,1,11,0,8,Y
4,11,6,8,7,8,7.22841,2,8,7,6,7,1,7,11,7,Z
3,6,4,4,1,7,5,13,5,7,13,8,3,9,0,8,U
6,10,5,5,4,9,6,4,6,11,5,7,4,7,9,10,Q
3,9,4,7,2,7,7,8,7,5,6,9,2,7,6,11,G
7,10.942752,9,8,8,5,8,3,5,7,8,10,8,8,4,8,A
3,1,4,3,3,7,6,6,4,6,7,7,8,6,2,7,M
3,7,4,5,2,5,2,7,8,1,2,2,1,6,1,5,L
6,8,8,6,4,4,8.685229,4,4,11,11,10,5,8,1,7,N
9,14.194091,8,8,5,7,5,4,9,10,4,9,3,7,9,9,Q
4,3,5,5,3,7,7,12,1,7,9,8,8,6,0,8,M
3,8,4,9,5,9,7,8,3,5,6,9,3,8,6,10,Q
3,9,5,6,1,7,10,3,2,7,13,8,2,11,0,8,Y
3,9,4,6,1,7,7,4,4,7,6,8,3,8,4,8,X
4,7,5,5,2,6,8,7,11,6,6,13,1,7,4,8,C
2,3,2,2,1,9,11.393227,3,5,6,10,8,2,11,1,8,T
5,11,5,8,5,7,8,14,1,7,5,8,3,8,0,8,H
1,0.716893,2,1,0,7,7,4,4,7,6,8,2,8,4,7,X
3,2,4,4,3,8,7.360314,7,5,7,6,7,2,8,9,8,Z
2,3.2123,3,3,2,8,7,3,5,9,6,6,3,8,5,9,B
3,3,4,5,2,3,8,6,11,7,5,14,0,8,7,7,E
3,4,5,6,1,9,7.626512,4,3,6,14,8,3,10,0,8,V
9,10,7,5,3,5,7.260393,6.895233,5,3,7,7,5,8,2,7,U
3,7,4,5,2,9,9,4,2,5,13,8,2,10,0,8,U
4,7.117681,5,5,4,8,6,4,6,9,5,6,2,8,6,10,B
1,3.360301,2,2,1,7,7,1,7,13,6,8,0,8,1,8,I
4,8,5,6,2,6,8,6,10,6,6,13,1,8,4,8,C
3,4.8885,4,4,2,7,4,14,5,7,12,8,3,9,0,8,U
5,9.235328,6,7,3,6,9,4,9,11,6,7,2,6,5,7,S
3,6.094055,3,5,2,5,6,10,7,5,4,5,3,8,3,8,D
6,13,5,10,4,7,11,3,3,13,5,4,2,9,8,9,J
5,11,4,6,3,6,9,4,5,10,6,8,3,8,7,9,E
6,7,5,11,4,7,7,5,3,11,7,7,3,9,11,6,Z
3,3.166077,4,2,1,5,11,3,7,11,9,4,1,10,2,5,T
6,7,6,5,4,4,10.221533,3,3,9,9,7,7,11,2,6,W
4,6,6,4,5,7,7.256179,5,3,6,6,10,4,8,7,8,G
4,9,6,7,6,9,6,4,5,9,5,7,2,8,5,9,B
4,8.235639,4,6,3,4,11,1,2,9,10,7,2,11,1,7,V
3,6,5,4,2,9,9,4,1,6,12,8,2,10,0,8,V
1,4,2,3,1,7,7,0,6,13,6,8,0,8,0,8,I
3,7,4,5,2,8,6.408909,0,7,13,6,9,0,7,2,8,I
2,3,4,4,1,5,8.281936,4,2,8,13,8,3,10,0,8,V
5,6.058154,6,4,4,7,6,6,5,6,7,9,9,6,2,8,M
2,6,3,4,1,7,9,4,2,7,13,8,3,10,0,8,V
4,7.575503,4,6,3,6,7,9,7,7,6,7,2,8,9,10,B
5,9.15584,5,8,3,5,10,10,4,9,6,5,2,10,4,8,P
3,7,4,6,3,8,7,7,4,6,6,9,2,8,4,9,Q
3,6,5,5,3,8,7.136658,7,5,6,6,8,2,8,4,9,Q
6,8,8,7,9,7,6,6,4,7,7,9,10,8,9,9,G
7,10,7,8,4,2,12,2,3,10,11,8,2,10,1,8,V
5,8,7,6,6,7,7.045156,7,7,6,7,9,3,10,6,7,T
3,7,4,5,3,7,7,8,5,6,5,6,3,8,3,8,O
9,12.114239,8,7,7,7,8,4,5,9,6,7,8,5,9,7,B
3,10,6,7,6,8,7,2,6,7,6,8,3,8,6,8,X
3,5,5,3,2,8,2,2,2,8,2,8,2,6,3,7,A
5,7,6,5,7,8,7.163808,6,5,7,6,8,7,9,7,6,M
3,8.166936,4,6,2,9,5,3,6,14,4,9,0,7,1,7,J
4,9.538019,5,8,5,7,6,5,5,7,7,8,3,9,8,11,L
1,6.21511,2,5,1,12,3,9,3,13,5,13,1,6,0,8,J
3,5,5,4,2,10,2,2,2,9,2,9,2,6,2,8,A
6,10,9,8,14,9,7.419408,5,2,7,6,8,11,11,4,8,W
7,10,7,7,5,7,7.632894,7,8,11,6,11,2,11,5,9,G
3,5,5,4,4,7,8,3,4,7,8,8,5,10,3,6,A
3,4,4,3,2,6,10,2,7,11,9,5,2,10,3,4,T
5,9,7,8,8,8,7,2,4,8,6,8,4,10,8,6,X
4,6,6,4,4,7,7.496709,6,5,7,6,6,4,8,3,7,D
2,6,4,4,3,6,9,4,5,6,9,9,3,9,0,8,U
6,6,5,9,3,7,9,2,2,7,10,5,4,10,5,6,Y
2,1,3,2,2,7,7,5,9,6,6,8,1,8,7,8,Z
4,3.151785,5,3,3,9,6,6,4,6,7,5,8,6,2,6,M
5,9,5,7,2,2,11,5,4,12,12,8,2,10,1,8,V
3,9,5,7,3,8,9,4,1,6,12,8,2,10,0,8,V
3,3.381826,4,3,2,5,7,4,8,7,6,11,3,8,5,9,K
6,7,8,6,8,7,6.765596,5,6,7,5,9,5,6,8,3,D
7,11,9,8,6,7,6.688946,8,6,6,7,11,4,7,4,9,C
6,7,6,5,3,4,9,1,8,10,10,6,1,10,3,4,Y
3,7.45503,5,6,3,5,9,1,6,8,12,10,1,11,2,8,Y
5,5,7,8,10,7,7.475782,6,2,6,6,8,11,10,9,13,Q
4,11,5,8,5,7,7.271362,13,1,6,6,8,6,9,1,6,N
6,10,8,8,8,7,8,8,4,6,5,9,3,7,8,5,A
3,6,4,4,3,11,6,3,6,11,3,7,2,8,4,11,B
4,7.848022,5,9,5,9,7,8,3,5,7,10,3,8,6,10,Q
1,8,0,6,0,7,7,4,4,7,6,8,0,8,0,8,I
3,5,5,8,2,7,8,4,3,7,14,8,3,9,0,8,V
4,6,6,4,3,7,10,5,3,11,4,3,1,10,3,9,P
5,8,7,6,3,4,12,3,6,14,8,4,1,10,1,7,F
4,9,5,6,3,5,7,6,8,5,7,12,1,7,4,9,C
6,10.732155,8,8,7,7,5,4,5,9,3,7,4,8,6,9,O
4,8.212326,6,6,4,6,10,1,6,13,7,6,1,10,2,8,F
3,5.623645,5,4,3,8,7,2,7,10,4,9,5,10,4,9,K
2,4,4,3,2,6,9,2,4,10,7,7,5,8,1,8,N
11,13,9,8,5,4,8,5,6,3,2,13,7,11,2,7,N
2,4,3,3,2,6,8,7,8,8,7,13,1,9,4,10,C
3,7.442793,5,9,8,8,6,4,1,7,8,9,7,10,8,8,Y
5,10,6,8,4,7,8,1,7,7,6,8,0,8,4,8,I
7,9,7,10,8,8,9,7,2,7,7,11,4,10,8,6,Q
10,12,8,7,5,6,8,4,5,10,7,4,3,9,5,4,Y
5,10,6,8,3,7,4,15,6,7,14,8,3,9,0,8,U
1,10,0,7,0,7,7,4,4,7,6,8,0,8,0,8,I
3,7,3,5,3,3,8,5,8,7,7,13,0,8,6,9,E
2,1,4,3,2,9,10,3,2,6,9,7,5,11,0,8,W
3.524243,6.232778,5,5,2,6,8,6,10,6,7,12,1,7,4,8,C
4,7,5,5,2,5,8,7,8,7,8,14,1,8,4,9,C
8,13,7,7,4,6.496845,9,2,7,11,7,6,2,10,5,5,F
6,10,8,8,5,7,8.287418,3,2,5,10,9,3,11,4,8,V
4,8,5,6,4,6,8,3,6,10,7,8,2,8,5,6,S
4,6,2,9,2,12,3.499362,2,4,9,5,7,2,9,4,11,J
6,8.835951,5,4,2,5,10,2,7,13,7,5,2,8,4,4,T
4,10,5,7,3,5,13.71574,1,5,9,10,7,0,8,0,8,T
1,3,3,1,1,8,8,2,5,14,5,8,1,7,0,8,J
2,5,3,4,1,7,7,0,8,13,6,8,0,8,1,8,I
4,4,6,3,3,10,5.523284,3,4,9,4,7,7,6,2,8,M
5,7.751808,7,5,4,12,2,2,2,10,3,9,5,4,1,9,M
4,7,4,5,2,5,7.732578,10,9,8,7,5,3,8,4,8,D
5,7,7,5,3,7,7.383258,3,4,10,7,8,5,8,0,7,N
3,7.077578,5,6,4,6,8,6,6,6,4,8,3,7,5,8,R
8,11,8,6,5,8,8,4,4,6,9,6,10,10,3,6,W
5,11,6,8,4,8,7,3,6,10,7,9,2,10,5,8,S
4,5,4,3,3,3,9.562795,2,2,10,10,8,5,11,1,7,W
3,4,3,3,1,5,11,3,7,11,9,5,1,11,2,5,T
2,8,4,6,3,11,3,3,3,10,2,9,2,6,3,8,A
2,1,2,1,1,7,7,6,6,7,6,5,2,8,2,7,D
4,9,6,7,5,9,7,2,7,11,5,8,3,7,6,10,E
5,10,4,5,3,8,7.120106,4,2,8,8,10,3,9,7,13,C
3,2,4,4,3,7,7,5,5,6,6,5,2,8,6,10,B
3,5,4,3,2,8,7,7,4,9,6,8,2,8,3,8,O
6,9,8,7,4,8.65337,7.741318,5,2,6,9,8,8,9,0,8,W
5,8.704659,5,8,1,0,0,6,6,0,1,5,0,8,0,8,L
3,8,5,6,7,8,9,5,3,7,7,7,9,8,9,8,H
4,7,6,5,6,7,6,4,2,8,8,8,5,10,4,7,V
9,15,8,8,5,11,7,4,5,9,3,4,6,8,4,8,H
4,6,6,8,1,8,10.580606,2,3,7,12,8,1,10,0,8,Y
2,7,3,5,3,9,7,1,5,10,4,7,0,7,1,6,J
2,7,3,5,2,6,7,9,6,7,6,7,2,8,8,9,B
2,5.72594,4,4,1,7,7,0,7,13,6,8,0,8,1,8,I
2,3,3,2,1,5,9.053525,5,6,10,9,9,3,10,2,6,U
6,11,6,8,3,4,13,8,1,10,6,3,1,10,4,8,P
2,11,2,8,3,7,7.17644,0,7,7,6,8,0,8,3,8,I
3,6,4,4,2,6,7.208083,5,6,11,8,12,1,9,3,9,C
3,6,5,4,3,8,7,4,9,6,6,8,3,8,6,8,X
3,8,4,6,2,8,14,0,5,6,10,8,0,8,0,8,T
6,9,7,7,8,9,6.406483,5,3,7,6,10,8,8,6,10,G
3,4,3,6,2,3,8,6,11,7,5,15,0,8,7,7,E
3,8,4,6,2,7,6,8,7,7,4,8,3,8,4,8,O
3,7,4,5,2,7,7,14,2,5,6,8,5,8,0,8,M
3,10.253909,4,8,2,7,7,0,8,13,6,8,0,8,1,8,I
4,5,4,7,4,7,7,12,2,7,9,8,8,5,0,8,M
3,8,5,6,3,5,8,4,8,11,9,9,2,8,5,6,E
2,2,3,3,2,8,8,6,1,5,6,9,2,9,4,10,Q
7,9,7,5,4,7,7,2,9,12,6,8,3,7,6,6,Z
2,1,3,2,1,8,6,7,5,6,6,8,3,8,4,8,Q
5,10,6,8,8,9,6,5,2,7,6,10,8,8,5,10,G
6,10,8,7,9,7,10,6,4,7,7,9,8,10,7,11,M
5,9,5,5,2,5,9,2,5,13,8,8,2,8,2,6,S
6,8,8,6,5,7,7,8,4,7,6,8,3,8,3,7,O
1,1.356798,2,2,1,7,7,5,8,6,6,8,2,8,7,8,Z
6,7,4,10,4,8,8.937192,4,4,11,6,7,2,10,9,8,Z
9,13,6,7,4,6,5,6,4,10,6,10,6,8,5,7,O
0,1,0,1,0,7,7,4,4,7,6,8,0,8,0,8,I
4,5,5,4,2,4,11,2,7,11,10,6,1,11,2,5,Y
5,8.77926,8,8,5,8,12,2,3,4,10,9,6,11,5,8,V
5,6,5,4,2,4,8.658631,5,7,12,11,8,3,9,1,6,U
4,10,5,8,3,7,13,0,6,7,10,8,0,8,0,8,T
6,11,8,8,10,7,7,4,4,6,6,9,8,8,8,8,K
4,9,6,7,3,6,3.244944,2,9,7,1,9,0,6,2,7,L
5,10,5,8,6,6,7.166012,9,4,6,5,7,3,8,5,11,R
2,3,3,2,1,6,10,5,4,9,7,3,1,10,4,6,P
3,9,5,6,3,6,7,7,6,5,7,9,2,7,4,9,G
2,2.048861,3,2,2,8,8,5,6,7,5,5,2,8,7,8,B
5,11,4,6,2,9,5.37968,4,6,10,5,9,1,10,7,9,E
1,3,3,2,1,6,3,2,2,5,2,8,1,6,1,7,A
4,8,4,6,2,3,6,6,11,7,7,14,0,8,7,7,E
3,7,3,5,2,3,7.157998,6,11,7,5,14,0,8,7,8,E
2,5.853295,3,4,1,14,1,6,5,14,2,11,0,7,0,8,J
5,8.966148,6,8,2,6,7,7,10,8,6,15,1,9,4,9,C
4,8,6,6,4,4,12,6,4,11,8,3,0,10,4,7,P
3,4,4,2,1,5,11,2,7,11,9,5,1,10,2,5,T
5,11,6,8,3,8,7.800611,1,7,14,5,6,0,9,1,8,J
6,9,6,6,5,2,11,2,3,10,10,8,5,11,1,7,W
2,3,3,4,2,8,8,5,2,8,8,10,2,9,4,8,Q
4,10,6,8,4,6,8.221911,2,9,11,8,7,2,10,7,6,Z
6,10,8,8,4,7,8,2,5,10,7,8,5,8,1,8,N
1,1.431834,2,2,1,7,7,5,8,6,6,8,2,8,6,8,Z
4,7,6,5,6,6,9,1,4,10,7,7,5,10,3,4,F
7,15,7,8,4,7,4.999098,4,5,12,9,11,3,9,6,9,L
2,1,2,2,1,7,7,3,12,8,6,8,0,8,7,8,Z
2,5,5,3,2,7,8,2,9,12,6,8,1,9,5,7,Z
5,9,7,7,8,7,9,5,5,8,5,7,7,6,8,12,K
6,9,5,4,2,11,2,2,5,10,2,9,2,8,3,11,S
1,3,2,2,1,11,6,1,6,11,3,7,0,7,0,8,J
4,5.897608,7,4,4,8,7,1,7,10,5,8,3,8,4,8,K
3,7,4,5,3,9,5,7,5,10,4,9,3,8,3,8,O
4,10,5,7,3,0,2,4,6,1,0,8,0,8,0,8,L
6,9.954869,8,8,8,7.851003,7,2,5,7,6,7,4,9,8,8,X
5,10,5,5,3,7,8,3,4,10,6,7,4,8,7,6,F
4,7,4,5,3,6,7,9,7,7,6,7,2,8,8,9,B
1,3,2,1,1,4,8,4,6,10,9,12,1,8,2,8,C
5,8,5,6,3,7,10.266527,2,9,11,9,5,1,11,3,4,T
4,6.824861,6,5,3,8,8,3,7,10,5,6,2,8,5,8,S
3,6,3,4,2,4,12,7,1,10,6,4,1,10,3,8,P
4,7.311583,4,6,2,8,5,14.256135,5,6,14,8,3,9,0,8,U
3,6.175735,5,5,2,10,11,2,2,5,12,8,1,11,0,8,Y
3,6.291883,5,5,4,9,7,3,5,7,8,6,4,10,3,5,A
4,7.961101,5,6,7,8,8,3,2,7,8,9,4,11,7,7,Y
6,10,8,8,5,5,9,2,10,10,8,9,3,8,5,5,E
1,0,1,0,0,7,6,10,4,7,12,8,3,10,0,8,U
2,0.387771,2,1,1,7,7,12,1,5,6,8,5,8,0,8,N
3,4.184128,6,3,2,7,9,2,5,10,6,6,5,8,1,7,N
3,4,5,3,2,9,5.967538,1,8,10,4,8,2,8,3,9,X
6,9,7,4,4,10,8.334122,6,3,5,7,9,10,13,2,6,M
4,6,6,4,3,7,10,4,4,12,5,3,1,10,2,8,P
2,6,4,4,2,8,3,2,2,7,1,8,2,7,3,7,A
3,5,6,4,3,7,7.347723,2,6,10,5,8,6,8,4,7,H
4,11,5,8,2,7,7.198644,4,14,10,6,8,0,8,8,8,Z
3,3.743079,5,3,3,8,11,2,2,7,9,8,6,11,0,7,W
5,10,7,8,4,6,8,4,2,7,8,8,9,9,0,8,W
5,6,5,4,3,5,9.743159,1,7,9,10,6,1,11,3,5,Y
1,3,2,2,1,11,6.22933,2,6,12,3,8,0,7,0,8,J
4,7.638273,6,6,4,7,9,7,7,11,6,4,4,8,5,9,D
4,4,6,6,6,9,8.345028,2,3,7,9,6,4,10,5,5,P
7,10,6,5,4,7,6,4,4,9,8,5,3,10,4,4,Y
4,6,4,8,4,6,7,10,7,7,6,7,3,8,9,10,B
2,1,3,2,1,6,6,5,5,6,6,9,2,9,4,8,G
4,7,5,5,4,8,7,6,6,7,6,9,6,8,3,8,H
4,6,5,8,2,8,7.311032,6,9,4,6,7,0,8,9,8,S
5,11,7,8,4,6,6.95861,8,8,8,5,13,3,11,5,8,G
5,9,5,4,3,11,3,3,6,11,3,9,3,8,6,13,Q
5,10,5,7,3,5,9,10,5,8,6,5,2,9,4,8,P
3,3,4,4,2,5,8,4,1,7,9,8,7,10,0,8,W
4,5,7,3,4,8,6.643236,3,4,9,6,8,8,6,2,8,M
2,4,3,3,1,8,6,3,6,14,5,9,0,7,0,8,J
4,10,5,7,3,6,8.735973,5,8,11,8,7,2,9,5,5,S
2,6,3,4,1,8,5,13,5,6,13,8,3,9,0,8,U
1,0,2,1,0,8,7.271203,4,7,5,6,8,0,8,7,8,S
1,5,2,4,1,7,7.366674,0,7,13,6,8,0,8,1,7,I
2,1,3,3,2,5,11,4,5,11,9,5,1,10,3,6,F
5,7.448724,4,5,3,6,7,6,3,9,7,9,5,10,5,8,O
7,10,7,8,3,4,10,3,8,11,11,5,1,11,3,4,Y
4,7,6,5,3,11,6,4,5,10,1,5,5,9,1,7,N
4,9,5,6,3,10,6,3,6,10,4,8,2,9,5,10,S
5,10,5,5,4,9,6.892992,5,6,10,6,7,4,8,9,9,Q
8,11,8,6,4,10,2.093711,6,5,13,4,11,5,7,5,9,D
