@relation letterRecogTrain-weka.filters.unsupervised.attribute.DMI-D2-N-1-F0.25-E-1-I-1-L1.0E-4

@attribute feat1 numeric
@attribute feat2 numeric
@attribute feat3 numeric
@attribute feat4 numeric
@attribute feat5 numeric
@attribute feat6 numeric
@attribute feat7 numeric
@attribute feat8 numeric
@attribute feat9 numeric
@attribute feat10 numeric
@attribute feat11 numeric
@attribute feat12 numeric
@attribute feat13 numeric
@attribute feat14 numeric
@attribute feat15 numeric
@attribute feat16 numeric
@attribute Class {A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z}

@data
6,14,5,8,4,9,4,3,2,8,4,11,6,6,4,8,A
2,3,3,2,2,8,7,6,4,9,6,8,2,8,2,8,O
6,10,8,8,7,11,6.395926,2,5,9,3,6,8,6,2,9,M
6,9,7,10,8,9,6.162447,6,3,4,8,11,5,9,9,13,Q
4,7,6,5,4,10,6,3,7,10,4,7,3,8,5,11,B
2,11,3,8,3,7,7.009217,1,6,11,5,9,1,6,2,5,J
2,8.827538,3,7,2,7,7,0,7,13,6,8,0,8,1,8,I
3,5,6,4,2,6,11,2,6,13,7,4,1,10,2,7,F
5,11,7,8,8,7,6,4,4,8,7,11,6,9,3,8,C
1,1,2,1,1,7,7.360223,11,1,7,6,8,3,8,0,8,H
4,7,5,5,2,8,4,14,5,6,14,8,3,9,0,8,U
5,11,7,8,8,7,8,6,4,6,4,6,5,7,7,7,B
5,8,5,6,3,3,10,3,6,12,12,7,1,11,2,5,Y
1,0,1,0,0,7,6.149664,5,7,7,6,13,0,8,4,10,C
2,1,2,1,0,8,7,4,4,7,6,8,3,8,4,8,X
4,5.815128,7,4,3,5,8,2,8,11,10,9,3,8,3,6,X
4,6,6,4,5,7,7.301557,5,4,6,6,8,4,7,7,7,G
3,6.214952,4,5,3,7,8,7,7,8,5,6,2,8,9,8,S
4,11,6,8,4,12,2,3,3,11,1,9,3,7,3,9,A
6,9,6,5,4,3,9,2,3,9,10,8,8,11,1,5,W
3,6.274733,5,5,4,7,7,3,8,5,6,9,3,7,7,9,X
2,2,3,2,2,7.135324,7,6,3,6,6,10,2,9,3,10,Q
3,2,4,4,2,5,8,6,6,8,10,10,3,9,0,8,U
1,4,2,2,1,7.558804,7.291116,1,7,13,6,8,0,8,1,8,I
2,5,3,7,1,12,3,9,4,13,5,12,1,6,0,8,J
3,3,4,2,2,9,6,6,4,6,7,6,6,5,2,6,M
3,6,4,5,3,9,8,7,4,5,7,10,2,8,4,9,Q
3,5,4,4,2,8,6.911381,3,7,11,5,9,1,9,5,9,S
2,4,3,3,1,4,10,2,6,10,10,6,1,11,2,5,Y
3,6,5,5,4,9,7,4,5,6,8,5,4,10,4,5,A
3,6,4,4,3,7,8,7,10,5,4,9,3,8,6,7,E
5,11,6,8,2,4,6.156054,9,2,7,7,12,4,7,3,11,K
3,5,4,3,2,7,7,7,4,9,6,7,2,8,3,7,O
5,9,6,7,6,7,7.739443,4,6,6,5,7,3,7,5,9,R
5,7,7,8,7,7,7.610644,5,5,8,7,9,5,9,7,5,F
6,10,6,5,4,7,7.753913,4,7,10,5,6,5,9,7,5,D
6,11,6,8,3,4,8.125677,6,8,12,10,12,2,9,3,7,C
4,8.215798,5,8,3,7,6,9,8,6,4,7,3,8,4,8,O
2,6,4,4,5,10,7,4,5,7,5,6,3,6,6,5,D
4,10,6,8,4,6,9,0,7,13,7,7,0,8,1,7,I
5,8,7,6,6,9,7,6,5,6,7,4,10,7,4,5,M
4,10,5,8,6,7,6.097669,10,1,7,8,8,7,5,0,8,M
2,5,4,3,3,9,6,4,6,10,4,6,2,8,3,8,D
5,5,5,7,2,1,15,5,3,12,9,4,0,8,3,6,F
7,15,7,9,5,9,6,5,6,12,3,7,5,7,6,10,D
2,4.378085,4,3,1,9,6,3,6,14,5,10,1,6,1,7,J
2,2.885554,3,2,1,6,7,2,6,10,7,10,3,8,2,8,K
2,4,4,2,2,10,2,2,2,9,2,8,2,6,2,8,A
9,15,8,8,6,8,6,3,7,10,5,7,6,8,9,6,D
1,1,2,1,1,7,7,6,4,7,6,8,2,8,2,8,O
2,3,4,1,1,10,2,3,1,9,2,9,1,6,1,8,A
2,4,3,3,1,7,8,7,7,8,10,7,3,9,1,8,U
2.228587,1,3,3,2,7,8,5,4,8,7,8,4,8,1,7,N
2,2.156499,3,2,1,6,8,7,8,8,7,13,1,9,4,10,O
4,8.564244,6,7,5,8,8,6,6,8,5,7,3,8,6,10,R
2,5.470032,4,4,2,8,2,2,2,7,2,8,2,6,3,6,A
3,7,5,5,3,4,3,8,6,1,3,3,1,6,0,6,L
6,11,8,8,10,9,8,5,4,9,5,7,5,10,13,8,S
8,9,9,7,4,3,8,6,8,10,11,10,3,9,2,5,U
2,8,3,6,1,11,3,10,3,12,8,13,1,6,0,8,J
4,5.625313,6,4,5,7,8,4,5,6,7,9,5,9,5,7,T
5,11,7,8,6,7,7,2,7,11,7,9,3,8,4,8,E
2,4,4,3,2,6,3.772337,1,8,8,2,11,0,7,2,8,L
1,3,2,4,1,13,3,7,4,13,4,11,1,6,0,8,J
4,8.031057,4,6,3,1,13,4,4,12,10,6,0,8,1,6,F
6,9,6,4,2,6,9,4,2,9,7,5,5,12,2,7,V
5,8.43998,6,7,3,6,8,11,10,8,7,6,3,8,4,8,D
2,2,3,4,3,7,7,6,7,7,6,9,2,8,6,10,E
2,6,4,4,2,8,11,2,3,5,11,9,2,10,0,8,V
4,9,5,4,3,9,6,2,7,11,3,7,3,8,4,9,X
2,6,3,4,3,6,10,3,5,10,9,5,2,10,3,6,F
4,8.505246,6,7,3,7,9,3,2,6,12,8,3,10,0,8,V
3,7,4,5,2,6,4,1,9,8,2,11,0,7,2,8,L
2,5.811424,3,5,1,0,1,5,6,0,0,7,0,8,0,8,L
4,9,5,6,3,4,7.82691,6,6,11,10,12,2,10,3,7,C
6,10,5,6,3,7,9,4,5,4,5,10,5,10,2,7,N
1,8,2,6,2,7,7,0,8,7,6,8,0,8,3,8,I
6,11,9,8,5,6,9,0,8,8,12,9,1,11,2,7,Y
2,1.561104,2,1,1,7,7,3,11,8,6,8,0,8,7,8,Z
4,5,4,7,2,3,7,7,2,7,5,11,3,8,3,10,K
4,11,5,8,3,6,9,11,5,7,5,8,3,8,5,10,R
4,8.319665,6,6,4,9,8,1,6,13,5,5,1,10,2,9,F
7,10,9,8,7,4,9,4,8,12,10,9,3,8,5,4,E
5,11,7,8,9,8,7,5,2,6,6,10,7,8,6,12,G
1,4,2,2,0,7,8,0,7,13,6,8,0,8,0,8,I
5,10,7,8,6,6,7,7,7,8,9,8,4,9,7,7,T
6,9,8,7,5,5,8.420835,3,7,10,9,10,3,8,4,6,K
6,9,8,8,9,7,6.715766,6,5,7,6,7,6,11,8,11,V
5,9,6,7,4,6,7,4,8,7,6,9,3,8,5,9,K
5,10,7,8,5,6,7.315254,7,6,6,6,10,2,8,5,8,G
6,10.389784,7,8,4,6,8,7,8,13,8,10,2,11,3,7,C
4,6,6,4,4,5,6,4,7,6,6,10,3,8,5,9,K
3,5,5,4,3,5,8,1,6,10,8,10,3,8,3,8,K
2,7,4,5,3,11,3,2,2,9,2,9,2,6,3,8,A
10,13,7,8,5,10,5,5,6,11,3,9,6,7,7,11,B
5,7,5,5,3,6,11.702246,3,7,11,9,4,2,12,2,4,T
1,1,2,1,0,7,11.648981,2,2,7,12,8,1,11,0,8,Y
4,11,6,8,7,8,8.336034,2,8,7,6,7,1,7,11,7,Z
3,6,4,4,1,7,5,13,5,7,13,8,3,9,0,8,U
6,10,5,5,4,9,6,4,6,11,5,7,4,7,9,10,Q
3,9,4,7,2,7,7,8,7,5,6,9,2,7,6,11,G
7,8.506911,9,8,8,5,8,3,5,7,8,10,8,8,4,8,A
3,1,4,3,3,7,6,6,4,6,7,7,8,6,2,7,M
3,7,4,5,2,5,2,7,8,1,2,2,1,6,1,5,L
6,8,8,6,4,4,8.403829,4,4,11,11,10,5,8,1,7,N
9,14.043416,8,8,5,7,5,4,9,10,4,9,3,7,9,9,Q
4,3,5,5,3,7,7,12,1,7,9,8,8,6,0,8,M
3,8,4,9,5,9,7,8,3,5,6,9,3,8,6,10,Q
3,9,5,6,1,7,10,3,2,7,13,8,2,11,0,8,Y
3,9,4,6,1,7,7,4,4,7,6,8,3,8,4,8,X
4,7,5,5,2,6,8,7,11,6,6,13,1,7,4,8,C
2,3,2,2,1,9,11.589255,3,5,6,10,8,2,11,1,8,T
5,11,5,8,5,7,8,14,1,7,5,8,3,8,0,8,H
1,0.790567,2,1,0,7,7,4,4,7,6,8,2,8,4,7,X
3,2,4,4,3,8,7.065348,7,5,7,6,7,2,8,9,8,Z
2,3.282935,3,3,2,8,7,3,5,9,6,6,3,8,5,9,B
3,3,4,5,2,3,8,6,11,7,5,14,0,8,7,7,E
3,4,5,6,1,9,8.034363,4,3,6,14,8,3,10,0,8,V
9,10,7,5,3,5,7.974241,6.611958,5,3,7,7,5,8,2,7,U
3,7,4,5,2,9,9,4,2,5,13,8,2,10,0,8,U
4,7.053769,5,5,4,8,6,4,6,9,5,6,2,8,6,10,B
1,3.439162,2,2,1,7,7,1,7,13,6,8,0,8,1,8,I
4,8,5,6,2,6,8,6,10,6,6,13,1,8,4,8,C
3,4.941728,4,4,2,7,4,14,5,7,12,8,3,9,0,8,U
5,9.126838,6,7,3,6,9,4,9,11,6,7,2,6,5,7,S
3,6.063293,3,5,2,5,6,10,7,5,4,5,3,8,3,8,D
6,13,5,10,4,7,11,3,3,13,5,4,2,9,8,9,J
5,11,4,6,3,6,9,4,5,10,6,8,3,8,7,9,E
6,7,5,11,4,7,7,5,3,11,7,7,3,9,11,6,Z
3,3.181243,4,2,1,5,11,3,7,11,9,4,1,10,2,5,T
6,7,6,5,4,4,10.333857,3,3,9,9,7,7,11,2,6,W
4,6,6,4,5,7,6.997815,5,3,6,6,10,4,8,7,8,G
4,9,6,7,6,9,6,4,5,9,5,7,2,8,5,9,B
4,8.089831,4,6,3,4,11,1,2,9,10,7,2,11,1,7,V
3,6,5,4,2,9,9,4,1,6,12,8,2,10,0,8,V
1,4,2,3,1,7,7,0,6,13,6,8,0,8,0,8,I
3,7,4,5,2,8,6.768385,0,7,13,6,9,0,7,2,8,I
2,3,4,4,1,5,8.386076,4,2,8,13,8,3,10,0,8,V
5,6.029265,6,4,4,7,6,6,5,6,7,9,9,6,2,8,M
2,6,3,4,1,7,9,4,2,7,13,8,3,10,0,8,V
4,7.456233,4,6,3,6,7,9,7,7,6,7,2,8,9,10,B
5,12.287658,5,8,3,5,10,10,4,9,6,5,2,10,4,8,P
3,7,4,6,3,8,7,7,4,6,6,9,2,8,4,9,Q
3,6,5,5,3,8,6.969788,7,5,6,6,8,2,8,4,9,Q
6,8,8,7,9,7,6,6,4,7,7,9,10,8,9,9,G
7,10,7,8,4,2,12,2,3,10,11,8,2,10,1,8,V
5,8,7,6,6,7,7.852342,7,7,6,7,9,3,10,6,7,T
3,7,4,5,3,7,7,8,5,6,5,6,3,8,3,8,O
9,12.299776,8,7,7,7,8,4,5,9,6,7,8,5,9,7,B
3,10,6,7,6,8,7,2,6,7,6,8,3,8,6,8,X
3,5,5,3,2,8,2,2,2,8,2,8,2,6,3,7,A
5,7,6,5,7,8,7.073974,6,5,7,6,8,7,9,7,6,M
3,8.147104,4,6,2,9,5,3,6,14,4,9,0,7,1,7,J
4,8.177822,5,8,5,7,6,5,5,7,7,8,3,9,8,11,L
1,6.26049,2,5,1,12,3,9,3,13,5,13,1,6,0,8,J
3,5,5,4,2,10,2,2,2,9,2,9,2,6,2,8,A
6,10,9,8,14,9,5.232562,5,2,7,6,8,11,11,4,8,W
7,10,7,7,5,7,6.809895,7,8,11,6,11,2,11,5,9,G
3,5,5,4,4,7,8,3,4,7,8,8,5,10,3,6,A
3,4,4,3,2,6,10,2,7,11,9,5,2,10,3,4,T
5,9,7,8,8,8,7,2,4,8,6,8,4,10,8,6,X
4,6,6,4,4,7,7.737786,6,5,7,6,6,4,8,3,7,D
2,6,4,4,3,6,9,4,5,6,9,9,3,9,0,8,U
6,6,5,9,3,7,9,2,2,7,10,5,4,10,5,6,Y
2,1,3,2,2,7,7,5,9,6,6,8,1,8,7,8,Z
4,3.145834,5,3,3,9,6,6,4,6,7,5,8,6,2,6,M
5,9,5,7,2,2,11,5,4,12,12,8,2,10,1,8,V
3,9,5,7,3,8,9,4,1,6,12,8,2,10,0,8,V
3,3.302056,4,3,2,5,7,4,8,7,6,11,3,8,5,9,K
6,7,8,6,8,7,7.019523,5,6,7,5,9,5,6,8,3,D
7,11,9,8,6,7,5.960797,8,6,6,7,11,4,7,4,9,C
6,7,6,5,3,4,9,1,8,10,10,6,1,10,3,4,Y
3,7.442851,5,6,3,5,9,1,6,8,12,10,1,11,2,8,Y
5,5,7,8,10,7,7.408458,6,2,6,6,8,11,10,9,13,Q
4,11,5,8,5,7,7.60082,13,1,6,6,8,6,9,1,6,N
6,10,8,8,8,7,8,8,4,6,5,9,3,7,8,5,A
3,6,4,4,3,11,6,3,6,11,3,7,2,8,4,11,B
4,7.352748,5,9,5,9,7,8,3,5,7,10,3,8,6,10,Q
1,8,0,6,0,7,7,4,4,7,6,8,0,8,0,8,I
3,5,5,8,2,7,8,4,3,7,14,8,3,9,0,8,V
4,6,6,4,3,7,10,5,3,11,4,3,1,10,3,9,P
5,8,7,6,3,4,12,3,6,14,8,4,1,10,1,7,F
4,9,5,6,3,5,7,6,8,5,7,12,1,7,4,9,C
6,10.98501,8,8,7,7,5,4,5,9,3,7,4,8,6,9,O
4,8.184504,6,6,4,6,10,1,6,13,7,6,1,10,2,8,F
3,5.714288,5,4,3,8,7,2,7,10,4,9,5,10,4,9,K
2,4,4,3,2,6,9,2,4,10,7,7,5,8,1,8,N
11,13,9,8,5,4,8,5,6,3,2,13,7,11,2,7,N
2,4,3,3,2,6,8,7,8,8,7,13,1,9,4,10,C
3,5.383066,5,9,8,8,6,4,1,7,8,9,7,10,8,8,Y
5,10,6,8,4,7,8,1,7,7,6,8,0,8,4,8,I
7,9,7,10,8,8,9,7,2,7,7,11,4,10,8,6,Q
10,12,8,7,5,6,8,4,5,10,7,4,3,9,5,4,Y
5,10,6,8,3,7,4,15,6,7,14,8,3,9,0,8,U
1,10,0,7,0,7,7,4,4,7,6,8,0,8,0,8,I
3,7,3,5,3,3,8,5,8,7,7,13,0,8,6,9,E
2,1,4,3,2,9,10,3,2,6,9,7,5,11,0,8,W
3.607987,6.249672,5,5,2,6,8,6,10,6,7,12,1,7,4,8,C
4,7,5,5,2,5,8,7,8,7,8,14,1,8,4,9,C
8,13,7,7,4,6.442504,9,2,7,11,7,6,2,10,5,5,F
6,10,8,8,5,7,10.409093,3,2,5,10,9,3,11,4,8,V
4,8,5,6,4,6,8,3,6,10,7,8,2,8,5,6,S
4,6,2,9,2,12,5.456818,2,4,9,5,7,2,9,4,11,J
6,8.892901,5,4,2,5,10,2,7,13,7,5,2,8,4,4,T
4,10,5,7,3,5,14.001502,1,5,9,10,7,0,8,0,8,T
1,3,3,1,1,8,8,2,5,14,5,8,1,7,0,8,J
2,5,3,4,1,7,7,0,8,13,6,8,0,8,1,8,I
4,4,6,3,3,10,5.47141,3,4,9,4,7,7,6,2,8,M
5,7.769123,7,5,4,12,2,2,2,10,3,9,5,4,1,9,M
4,7,4,5,2,5,8.324262,10,9,8,7,5,3,8,4,8,D
5,7,7,5,3,7,7.601623,3,4,10,7,8,5,8,0,7,N
3,7.105255,5,6,4,6,8,6,6,6,4,8,3,7,5,8,R
8,11,8,6,5,8,8,4,4,6,9,6,10,10,3,6,W
5,11,6,8,4,8,7,3,6,10,7,9,2,10,5,8,S
4,5,4,3,3,3,10.978475,2,2,10,10,8,5,11,1,7,W
3,4,3,3,1,5,11,3,7,11,9,5,1,11,2,5,T
2,8,4,6,3,11,3,3,3,10,2,9,2,6,3,8,A
2,1,2,1,1,7,7,6,6,7,6,5,2,8,2,7,D
4,9,6,7,5,9,7,2,7,11,5,8,3,7,6,10,E
5,10,4,5,3,8,6.713153,4,2,8,8,10,3,9,7,13,C
3,2,4,4,3,7,7,5,5,6,6,5,2,8,6,10,B
3,5,4,3,2,8,6.980302,7,4,9,6,8,2,8,3,8,O
6,9,8,7,4,7.099187,8.862985,5,2,6,9,8,8,9,0,8,W
5,10.862287,5,8,1,0,0,6,6,0,1,5,0,8,0,8,L
3,8,5,6,7,8,9,5,3,7,7,7,9,8,9,8,H
4,7,6,5,6,7,6,4,2,8,8,8,5,10,4,7,V
9,15,8,8,5,11,7,4,5,9,3,4,6,8,4,8,H
4,6,6,8,1,8,11.533175,2,3,7,12,8,1,10,0,8,Y
2,7,3,5,3,9,7,1,5,10,4,7,0,7,1,6,J
2,7,3,5,2,6,7,9,6,7,6,7,2,8,8,9,B
2,5.765439,4,4,1,7,7,0,7,13,6,8,0,8,1,8,I
2,3,3,2,1,5,8.583617,5,6,10,9,9,3,10,2,6,U
6,11,6,8,3,4,13,8,1,10,6,3,1,10,4,8,P
2,11,2,8,3,7,7.063569,0,7,7,6,8,0,8,3,8,I
3,6,4,4,2,6,7.422723,5,6,11,8,12,1,9,3,9,C
3,6,5,4,3,8,7,4,9,6,6,8,3,8,6,8,X
3,8,4,6,2,8,14,0,5,6,10,8,0,8,0,8,T
6,9,7,7,8,9,5.883329,5,3,7,6,10,8,8,6,10,G
3,4,3,6,2,3,8,6,11,7,5,15,0,8,7,7,E
3,8,4,6,2,7,6,8,7,7,4,8,3,8,4,8,O
3,7,4,5,2,7,7,14,2,5,6,8,5,8,0,8,M
3,10.473031,4,8,2,7,7,0,8,13,6,8,0,8,1,8,I
4,5,4,7,4,7,7,12,2,7,9,8,8,5,0,8,M
3,8,5,6,3,5,8,4,8,11,9,9,2,8,5,6,E
2,2,3,3,2,8,8,6,1,5,6,9,2,9,4,10,Q
7,9,7,5,4,7,7,2,9,12,6,8,3,7,6,6,Z
2,1,3,2,1,8,6,7,5,6,6,8,3,8,4,8,Q
5,10,6,8,8,9,6,5,2,7,6,10,8,8,5,10,G
6,10,8,7,9,7,10,6,4,7,7,9,8,10,7,11,M
5,9,5,5,2,5,9,2,5,13,8,8,2,8,2,6,S
6,8,8,6,5,7,7,8,4,7,6,8,3,8,3,7,O
1,1.322644,2,2,1,7,7,5,8,6,6,8,2,8,7,8,Z
6,7,4,10,4,8,7.44263,4,4,11,6,7,2,10,9,8,Z
9,13,6,7,4,6,5,6,4,10,6,10,6,8,5,7,O
0,1,0,1,0,7,7,4,4,7,6,8,0,8,0,8,I
4,5,5,4,2,4,11,2,7,11,10,6,1,11,2,5,Y
5,9.982131,8,8,5,8,12,2,3,4,10,9,6,11,5,8,V
5,6,5,4,2,4,8.568618,5,7,12,11,8,3,9,1,6,U
4,10,5,8,3,7,13,0,6,7,10,8,0,8,0,8,T
6,11,8,8,10,7,7,4,4,6,6,9,8,8,8,8,K
4,9,6,7,3,6,2.768734,2,9,7,1,9,0,6,2,7,L
5,10,5,8,6,6,7.322007,9,4,6,5,7,3,8,5,11,R
2,3,3,2,1,6,10,5,4,9,7,3,1,10,4,6,P
3,9,5,6,3,6,7,7,6,5,7,9,2,7,4,9,G
2,2.002998,3,2,2,8,8,5,6,7,5,5,2,8,7,8,B
5,11,4,6,2,9,6.697843,4,6,10,5,9,1,10,7,9,E
1,3,3,2,1,6,3,2,2,5,2,8,1,6,1,7,A
4,8,4,6,2,3,7.480196,6,11,7,7,14,0,8,7,7,E
3,7,3,5,2,3,7.180596,6,11,7,5,14,0,8,7,8,E
2,5.956277,3,4,1,14,1,6,5,14,2,11,0,7,0,8,J
5,7.601907,6,8,2,6,7,7,10,8,6,15,1,9,4,9,C
4,8,6,6,4,4,12,6,4,11,8,3,0,10,4,7,P
3,4,4,2,1,5,11,2,7,11,9,5,1,10,2,5,T
5,11,6,8,3,8,7.596019,1,7,14,5,6,0,9,1,8,J
6,9,6,6,5,2,11,2,3,10,10,8,5,11,1,7,W
2,3,3,4,2,8,8,5,2,8,8,10,2,9,4,8,Q
4,10,6,8,4,6,8.743259,2,9,11,8,7,2,10,7,6,Z
6,10,8,8,4,7,8,2,5,10,7,8,5,8,1,8,N
1,1.381612,2,2,1,7,7,5,8,6,6,8,2,8,6,8,Z
4,7,6,5,6,6,9,1,4,10,7,7,5,10,3,4,F
7,15,7,8,4,7,6.785666,4,5,12,9,11,3,9,6,9,L
2,1,2,2,1,7,7,3,12,8,6,8,0,8,7,8,Z
2,5,5,3,2,7,8,2,9,12,6,8,1,9,5,7,Z
5,9,7,7,8,7,9,5,5,8,5,7,7,6,8,12,K
6,9,5,4,2,11,2,2,5,10,2,9,2,8,3,11,S
1,3,2,2,1,11,6,1,6,11,3,7,0,7,0,8,J
4,6.013565,7,4,4,8,7,1,7,10,5,8,3,8,4,8,K
3,7,4,5,3,9,5,7,5,10,4,9,3,8,3,8,O
4,10,5,7,3,0,2,4,6,1,0,8,0,8,0,8,L
6,8.462525,8,8,8,7.83364,7,2,5,7,6,7,4,9,8,8,X
5,10,5,5,3,7,8,3,4,10,6,7,4,8,7,6,F
4,7,4,5,3,6,7,9,7,7,6,7,2,8,8,9,B
1,3,2,1,1,4,8,4,6,10,9,12,1,8,2,8,C
5,8,5,6,3,7,10.201398,2,9,11,9,5,1,11,3,4,T
4,6.863463,6,5,3,8,8,3,7,10,5,6,2,8,5,8,S
3,6,3,4,2,4,12,7,1,10,6,4,1,10,3,8,P
4,7.232161,4,6,2,8,5,13.178719,5,6,14,8,3,9,0,8,U
3,6.219446,5,5,2,10,11,2,2,5,12,8,1,11,0,8,Y
3,6.400209,5,5,4,9,7,3,5,7,8,6,4,10,3,5,A
4,7.924386,5,6,7,8,8,3,2,7,8,9,4,11,7,7,Y
6,10,8,8,5,5,9,2,10,10,8,9,3,8,5,5,E
1,0,1,0,0,7,6,10,4,7,12,8,3,10,0,8,U
2,0.441647,2,1,1,7,7,12,1,5,6,8,5,8,0,8,N
3,4.137534,6,3,2,7,9,2,5,10,6,6,5,8,1,7,N
3,4,5,3,2,9,6.389472,1,8,10,4,8,2,8,3,9,X
6,9,7,4,4,10,12.908541,6,3,5,7,9,10,13,2,6,M
4,6,6,4,3,7,10,4,4,12,5,3,1,10,2,8,P
2,6,4,4,2,8,3,2,2,7,1,8,2,7,3,7,A
3,5,6,4,3,7,7.330088,2,6,10,5,8,6,8,4,7,H
4,11,5,8,2,7,7.025336,4,14,10,6,8,0,8,8,8,Z
3,3.643529,5,3,3,8,11,2,2,7,9,8,6,11,0,7,W
5,10,7,8,4,6,8,4,2,7,8,8,9,9,0,8,W
5,6,5,4,3,5,9.624923,1,7,9,10,6,1,11,3,5,Y
1,3,2,2,1,11,6.335737,2,6,12,3,8,0,7,0,8,J
4,7.620703,6,6,4,7,9,7,7,11,6,4,4,8,5,9,D
4,4,6,6,6,9,9.380363,2,3,7,9,6,4,10,5,5,P
7,10,6,5,4,7,6,4,4,9,8,5,3,10,4,4,Y
4,6,4,8,4,6,7,10,7,7,6,7,3,8,9,10,B
2,1,3,2,1,6,6,5,5,6,6,9,2,9,4,8,G
4,7,5,5,4,8,7,6,6,7,6,9,6,8,3,8,H
4,6,5,8,2,8,7.027211,6,9,4,6,7,0,8,9,8,S
5,11,7,8,4,6,6.117811,8,8,8,5,13,3,11,5,8,G
5,9,5,4,3,11,3,3,6,11,3,9,3,8,6,13,Q
5,10,5,7,3,5,9,10,5,8,6,5,2,9,4,8,P
3,3,4,4,2,5,8,4,1,7,9,8,7,10,0,8,W
4,5,7,3,4,8,5.757316,3,4,9,6,8,8,6,2,8,M
2,4,3,3,1,8,6,3,6,14,5,9,0,7,0,8,J
4,10,5,7,3,6,8.392148,5,8,11,8,7,2,9,5,5,S
2,6,3,4,1,8,5,13,5,6,13,8,3,9,0,8,U
1,0,2,1,0,8,6.925797,4,7,5,6,8,0,8,7,8,S
1,5,2,4,1,7,7.341084,0,7,13,6,8,0,8,1,7,I
2,1,3,3,2,5,11,4,5,11,9,5,1,10,3,6,F
5,7.323895,4,5,3,6,7,6,3,9,7,9,5,10,5,8,O
7,10,7,8,3,4,10,3,8,11,11,5,1,11,3,4,Y
4,7,6,5,3,11,6,4,5,10,1,5,5,9,1,7,N
4,9,5,6,3,10,6,3,6,10,4,8,2,9,5,10,S
5,10,5,5,4,9,6.465159,5,6,10,6,7,4,8,9,9,Q
8,11,8,6,4,10,3.364093,6,5,13,4,11,5,7,5,9,D
